Sample	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average
SRR6984609_trimmed_quality	0.2520092	5.525983	22.327721	81.16116661547382	0.0	1.4810098744654285	27.51035	0.0
SRR6984610_trimmed_quality	0.2127431	6.7177549999999995	24.598613999999998	85.7717440658474	0.0	1.4798237800426357	28.679157999999997	0.0
SRR6984611_trimmed_quality	0.1761084	5.878486	25.633080999999997	87.83926708844095	0.0	1.0421323535811804	29.181801999999998	0.0
SRR6984612_trimmed_quality	0.11731269999999999	5.1449679999999995	24.444001999999998	86.65907968447787	0.0	0.6376978948588347	28.207086999999998	0.0
SRR6984613_trimmed_quality	0.2101878	5.777126	23.92382	83.80508788005511	0.0	1.2876319167654102	28.546978	0.0
SRR6984614_trimmed_quality	0.10581460000000001	5.166925	25.870202	91.09636310733853	0.0	0.6277888359831416	28.398721	0.0
SRR6984615_trimmed_quality	0.2429341	6.327819	25.142103	83.59051057760401	0.0	1.5150260824464636	30.0777	0.0
SRR6984616_trimmed_quality	0.1545458	6.839239999999999	33.327801	89.55845092943918	0.0	0.8895033499032325	37.213463	0.0
SRR6984617_trimmed_quality	0.1354486	6.09811	27.931646999999998	85.18139685776946	0.0	0.82543317126645	32.790783	0.0
SRR6984618_trimmed_quality	0.1287877	6.11329	23.00849	85.11501806010624	0.0	0.8701685872565541	27.032232999999998	0.0
SRR6984619_trimmed_quality	0.1627395	6.951365	23.357898	84.64404681918293	0.0	1.2192629934777994	27.595440999999997	0.0
SRR6984620_trimmed_quality	0.137183	5.645709999999999	23.254375	83.28320866182975	0.0	0.8989850134544228	27.922044999999997	0.0
SRR6984621_trimmed_quality	0.3193019	5.688922	21.88392	76.49444971036063	0.0	1.8697026027957346	28.608507	0.0
SRR6984622_trimmed_quality	0.1867086	5.333272	26.795672	89.06499424341126	0.0	0.9654908476587712	30.085525999999998	0.0
SRR6984623_trimmed_quality	0.2545318	8.601671999999999	32.231584	83.22823756328992	0.0	1.6724851698726728	38.726741	0.0
SRR6984624_trimmed_quality	0.1668753	7.012416	29.755993999999998	88.65535928250043	0.0	0.9784358517149137	33.563672	0.0
SRR6984625_trimmed_quality	0.18180939999999998	5.5196	22.853405	81.49670923596362	0.0	1.0758530382153704	28.042119999999997	0.0
SRR6984626_trimmed_quality	0.1216644	5.422412	23.924644	90.2141816465915	0.0	0.7871431735638085	26.519826	0.0
