Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
SRR6984612 - polya	(1, 0.002765881846278735)	(2, 0.0054028023303996885)	(3, 0.008905121429000492)	(4, 0.01257712653044048)	(5, 0.016106595389495555)	(6, 0.019052344398783828)	(7, 0.024584108091341296)	(8, 0.031015207598946454)	(9, 0.04089093296418709)	(10, 0.04940238286660067)	(11, 0.05521921904392797)	(12, 0.05974644159967746)	(13, 0.06455194920008321)	(14, 0.06897057271401562)	(15, 0.07331792810675557)	(16, 0.07810646710687741)	(17, 0.08330903995392686)	(18, 0.08930913701432049)	(19, 0.09607282108749045)	(20, 0.10243265247390314)	(21, 0.111677145908582)	(22, 0.11976438080389762)	(23, 0.12453934492379232)	(24, 0.1293414588041413)	(25, 0.13404854852290032)	(26, 0.13832124207439103)	(27, 0.14440278841614745)	(28, 0.1477965084729312)	(29, 0.151376883132838)	(30, 0.15515748727609507)	(31, 0.15949805522872146)	(32, 0.1633736835335685)	(33, 0.16743936016159539)	(34, 0.17218038708092223)	(35, 0.17607637770610995)	(36, 0.183780122235009)	(37, 0.1895562337716549)	(38, 0.19506763514387168)	(39, 0.20055867419574774)	(40, 0.20525558275433642)	(41, 0.20987443575161907)	(42, 0.2142014288240183)	(43, 0.2184367914548844)	(44, 0.22277057196739722)	(45, 0.2266767437527553)	(46, 0.23097998078475704)	(47, 0.23520176853539598)	(48, 0.23926744516342288)	(49, 0.24352656383468646)	(50, 0.24801645546981133)	(51, 0.25235362970238095)	(52, 0.2565516614126224)	(53, 0.2608005989237156)	(54, 0.26485609439157215)	(55, 0.2691661188636875)	(56, 0.27361528585813094)	(57, 0.2776639938858739)	(58, 0.2821233420404878)	(59, 0.28661323367561264)	(60, 0.29142213499607517)	(61, 0.29594935755182467)	(62, 0.30087025163416103)	(63, 0.3058624138376899)	(64, 0.31167925001501723)
SRR6984612 - polyg	(1, 0.065889074902456)	(2, 0.4354550079260332)	(3, 0.4359504910543236)	(4, 0.43624913841932056)	(5, 0.43698896939169946)	(6, 0.43790866752708785)	(7, 0.4379799356482803)	(8, 0.4381088970104381)	(9, 0.4383736071748672)	(10, 0.43871976662065915)	(11, 0.4391371941876435)	(12, 0.43958516523513896)	(13, 0.43998562420183945)	(14, 0.44040644548888064)	(15, 0.4407729672550133)	(16, 0.44115306390137304)	(17, 0.4414788610268243)	(18, 0.4418996823138655)	(19, 0.44227977896022524)	(20, 0.4427413248879479)	(21, 0.4431010592139669)	(22, 0.4435015181806674)	(23, 0.44389518970725433)	(24, 0.4443329795945794)	(25, 0.44474022600139346)	(26, 0.44523910284974066)	(27, 0.4456972550574065)	(28, 0.44624364398654864)	(29, 0.4468680884769969)	(30, 0.44759773828920535)	(31, 0.4481441272183475)	(32, 0.448921289111351)	(33, 0.4496713012439002)	(34, 0.4504518568569605)	(35, 0.4514292482333142)	(36, 0.45260008165290455)	(37, 0.4537132218315296)	(38, 0.45481957457004113)	(39, 0.4560311326303129)	(40, 0.45739880181319675)	(41, 0.45876307727602383)	(42, 0.4603581257027122)	(43, 0.4626556741811547)	(44, 0.46456973229318077)	(45, 0.4665448773662289)	(46, 0.4683978485172328)	(47, 0.4697892737405141)	(48, 0.47274520390997277)	(49, 0.4750223900680746)	(50, 0.47635951577044744)	(51, 0.4779240207166247)	(52, 0.47929508361956535)	(53, 0.4804693107592125)	(54, 0.4816944436997114)	(55, 0.4830553254424817)	(56, 0.48446711298610373)	(57, 0.4858958691300097)	(58, 0.4873891059549945)	(59, 0.49015159408121645)	(60, 0.4919027536305169)	(61, 0.49340956533572883)	(62, 0.4954254350494584)	(63, 0.49753632892477784)	(64, 0.5000137445662299)
SRR6984613 - illumina_universal_adapter	(1, 7.695832074535003e-05)	(2, 0.00011376447414530005)	(3, 0.00024760503196330014)	(4, 0.00032790936665410013)	(5, 0.0003847916037267502)	(6, 0.0016696609587795509)	(7, 0.0016830450145613508)	(8, 0.0017466192795249009)	(9, 0.001830269628161151)	(10, 0.0019005359210156009)	(11, 0.001957418158088251)	(12, 0.002051106548560851)	(13, 0.002144794939033451)	(14, 0.002208369203997001)	(15, 0.002285327524742351)	(16, 0.0025295865427602013)	(17, 0.0026567350726873014)	(18, 0.0028173437420689015)	(19, 0.0029746063975050513)	(20, 0.0031084469553230515)	(21, 0.0032590175828683017)	(22, 0.0034798545032680016)	(23, 0.0036672312842132015)	(24, 0.003881376176722002)	(25, 0.004135673236576202)	(26, 0.004463582603230302)	(27, 0.004814914067502552)	(28, 0.0052632799361928525)	(29, 0.005664801609646853)	(30, 0.006083053352828103)	(31, 0.006578263416754703)	(32, 0.007086857536463103)	(33, 0.0075787215864442535)	(34, 0.008184350110570704)	(35, 0.008897051080951554)	(36, 0.009562907856096104)	(37, 0.010315760993822354)	(38, 0.011081998187330406)	(39, 0.011972037896820106)	(40, 0.012831963480800755)	(41, 0.013982992278035556)	(42, 0.015180865270506657)	(43, 0.016589537141541107)	(44, 0.017914558663939307)	(45, 0.01930650046524651)	(46, 0.020849012894098958)	(47, 0.02250528979709671)	(48, 0.02452293620620306)	(49, 0.026945450302708864)	(50, 0.029578763277778013)	(51, 0.032637020023919314)	(52, 0.035675200686387916)	(53, 0.03908813491074692)	(54, 0.04283567052965092)	(55, 0.04662335831590032)	(56, 0.05040770008820428)	(57, 0.05463371570130762)	(58, 0.05955904822901003)	(59, 0.06521715781076598)	(60, 0.07195937591084774)	(61, 0.07989612098945514)	(62, 0.08858906521973424)	(63, 0.09784079377890349)	(64, 0.10732674331425425)
SRR6984613 - polya	(1, 0.01914254578191946)	(2, 0.022083692039970012)	(3, 0.026333129750691513)	(4, 0.029963554881504765)	(5, 0.03322257246437307)	(6, 0.03581573327209682)	(7, 0.04168798774636157)	(8, 0.04758031830429902)	(9, 0.05625987847879633)	(10, 0.06288498609078733)	(11, 0.06883419888579743)	(12, 0.07254158233735604)	(13, 0.07671740774127764)	(14, 0.08015041804930934)	(15, 0.08345627982741394)	(16, 0.08734100201808138)	(17, 0.0914900593104394)	(18, 0.09619790093168755)	(19, 0.10321783818924164)	(20, 0.1093644658070333)	(21, 0.12052342231510906)	(22, 0.12858731592364356)	(23, 0.1329337880387831)	(24, 0.136688015685578)	(25, 0.14055600780651822)	(26, 0.14369122287340486)	(27, 0.14900134700483403)	(28, 0.15151754949181243)	(29, 0.15416090050871792)	(30, 0.15710873879465936)	(31, 0.16080273819043617)	(32, 0.16389110906208654)	(33, 0.16745126790004533)	(34, 0.17113522925398578)	(35, 0.17410983565149082)	(36, 0.18264217121238835)	(37, 0.18795898737170838)	(38, 0.1920344323572665)	(39, 0.1962303338448608)	(40, 0.20008828792396463)	(41, 0.20377559529185055)	(42, 0.207058034972337)	(43, 0.2104174329735688)	(44, 0.2137701389469097)	(45, 0.2169354681393054)	(46, 0.22042536068440977)	(47, 0.22383829490876875)	(48, 0.2273081113702004)	(49, 0.23062066517619592)	(50, 0.2345288094644815)	(51, 0.2381625806092402)	(52, 0.24179300574005347)	(53, 0.24561080765181192)	(54, 0.24919773460133432)	(55, 0.25332671581001964)	(56, 0.25769995603672274)	(57, 0.2614274155719541)	(58, 0.2655998949619302)	(59, 0.27021739420665125)	(60, 0.2746307866006998)	(61, 0.27883338011618497)	(62, 0.28342076523539694)	(63, 0.2879010779083545)	(64, 0.29327812231869266)
SRR6984613 - polyg	(1, 0.08297779983321459)	(2, 0.5310726413939334)	(3, 0.5315812355136418)	(4, 0.5318924148105686)	(5, 0.532735610324822)	(6, 0.5336223040203663)	(7, 0.5337695286339661)	(8, 0.5338866391220568)	(9, 0.5341476282098019)	(10, 0.5343952332417652)	(11, 0.5346896824689648)	(12, 0.5349473255427645)	(13, 0.5352986570070367)	(14, 0.5355696841366181)	(15, 0.5358540953219814)	(16, 0.5361050463678901)	(17, 0.5364095336369261)	(18, 0.5367876332127619)	(19, 0.5372092309698887)	(20, 0.5375471783783791)	(21, 0.5377412471872152)	(22, 0.5380557724980874)	(23, 0.5384338720739233)	(24, 0.5388019336079228)	(25, 0.5391097668909043)	(26, 0.5394778284249038)	(27, 0.5399094642238668)	(28, 0.5403678681343934)	(29, 0.5410002647700834)	(30, 0.54156908714081)	(31, 0.5420810272744638)	(32, 0.5428472644679719)	(33, 0.5435265052988982)	(34, 0.5442726664087336)	(35, 0.5451091698950961)	(36, 0.5464074233059307)	(37, 0.5475651441310564)	(38, 0.5487128269143458)	(39, 0.5501750350085074)	(40, 0.5515368626843056)	(41, 0.5531061432247216)	(42, 0.5550367932712462)	(43, 0.5579411333758969)	(44, 0.5602431909703665)	(45, 0.5627593934573448)	(46, 0.5647870779082875)	(47, 0.5666206935503941)	(48, 0.5697458705754445)	(49, 0.5719843539049505)	(50, 0.5732424551484397)	(51, 0.574530670517438)	(52, 0.5759159202908543)	(53, 0.5773814743989614)	(54, 0.578776762214214)	(55, 0.5804062710056481)	(56, 0.5820525098668096)	(57, 0.5835414860725349)	(58, 0.5852646832544416)	(59, 0.5883028639169102)	(60, 0.5900160230569805)	(61, 0.5915919956252875)	(62, 0.5937334445503756)	(63, 0.5960053880193361)	(64, 0.5989231121797685)
SRR6984614 - illumina_universal_adapter	(1, 5.3989833511887834e-05)	(2, 7.423602107884578e-05)	(3, 0.00018221568810262143)	(4, 0.00029019535512639713)	(5, 0.00032393900107132703)	(6, 0.0012417661707734202)	(7, 0.0012856329105018292)	(8, 0.0013362483794192239)	(9, 0.0014509767756319856)	(10, 0.0015522077134667754)	(11, 0.0015893257240061982)	(12, 0.001643315557518086)	(13, 0.0016770592034630158)	(14, 0.0017512952245418616)	(15, 0.0018660236207546233)	(16, 0.001977377652372892)	(17, 0.002058362402640724)	(18, 0.0021494702466920345)	(19, 0.0022540755491213173)	(20, 0.002365429580739586)	(21, 0.0024970297999248126)	(22, 0.002662373665054969)	(23, 0.0028310918947796184)	(24, 0.0030166819474767327)	(25, 0.003236015646118777)	(26, 0.0034620980739498075)	(27, 0.0037860370750211346)	(28, 0.004157217180415364)	(29, 0.004535146014998578)	(30, 0.004953567224715709)	(31, 0.005365239705243854)	(32, 0.005901763675768239)	(33, 0.006468656927643061)	(34, 0.0070726681900573065)	(35, 0.007717171827605468)	(36, 0.008371798558937108)	(37, 0.009144528051076002)	(38, 0.010069103949967082)	(39, 0.01094643874453526)	(40, 0.011786655528564014)	(41, 0.012846206011234812)	(42, 0.014327552068217234)	(43, 0.015748159562498785)	(44, 0.017384726390827884)	(45, 0.018896441729160742)	(46, 0.02063423949532463)	(47, 0.02242602709500041)	(48, 0.024602492258448388)	(49, 0.027217624819180455)	(50, 0.029984603786664708)	(51, 0.03313626031792116)	(52, 0.036621978944032414)	(53, 0.04015831303906107)	(54, 0.04425816602137005)	(55, 0.04854360905637615)	(56, 0.05317998600920952)	(57, 0.05788722461852724)	(58, 0.06346167492862965)	(59, 0.06928582821872456)	(60, 0.07616953199149026)	(61, 0.08413640679908821)	(62, 0.0929468727553094)	(63, 0.10265829405826023)	(64, 0.11347313258361026)
SRR6984614 - polya	(1, 0.007062545096273827)	(2, 0.009647308375655458)	(3, 0.013325365783652817)	(4, 0.017084407941918008)	(5, 0.02041490579668259)	(6, 0.023323608077135544)	(7, 0.029012786783450727)	(8, 0.03558604901352307)	(9, 0.04557416821322232)	(10, 0.054134931189451035)	(11, 0.05967563785360852)	(12, 0.0639205885134807)	(13, 0.06881004281090104)	(14, 0.07339242993022253)	(15, 0.07741129816226368)	(16, 0.08217590096968778)	(17, 0.08719358112169885)	(18, 0.09304810369314419)	(19, 0.09985082271564207)	(20, 0.10657593135246658)	(21, 0.1157137106743536)	(22, 0.1236130981900617)	(23, 0.12845868574775363)	(24, 0.13307144214842553)	(25, 0.13779555258071574)	(26, 0.1418954055630247)	(27, 0.14769931266555267)	(28, 0.15105343107247868)	(29, 0.15454589842777894)	(30, 0.1583623047841505)	(31, 0.16259038362105022)	(32, 0.16633255395634294)	(33, 0.17027043743811626)	(34, 0.17458962411906728)	(35, 0.1783992817462499)	(36, 0.1863290385433084)	(37, 0.19168752951936327)	(38, 0.19683343552596508)	(39, 0.2016891461774405)	(40, 0.20631877440108487)	(41, 0.21056035069636256)	(42, 0.21476143461650632)	(43, 0.2190603751098904)	(44, 0.22306574588355357)	(45, 0.22716559886586257)	(46, 0.2312317082022266)	(47, 0.23531806372615763)	(48, 0.23948540400035648)	(49, 0.24377084703536256)	(50, 0.24820813647712084)	(51, 0.2525610668040168)	(52, 0.25681951492226696)	(53, 0.26114207596781247)	(54, 0.265238554585527)	(55, 0.26973320822539165)	(56, 0.2742244875006618)	(57, 0.27857741782755774)	(58, 0.2832239178741746)	(59, 0.2878940384729529)	(60, 0.2926620156449715)	(61, 0.2970419408886234)	(62, 0.30211698523874086)	(63, 0.3071819064950748)	(64, 0.3130296803373312)
SRR6984614 - polyg	(1, 0.06592158671801505)	(2, 0.44758584290733366)	(3, 0.44793002809597193)	(4, 0.448135864336236)	(5, 0.4489153425575639)	(6, 0.44973531315402565)	(7, 0.4498297953626715)	(8, 0.45000188795699064)	(9, 0.45022797038482165)	(10, 0.4505046682815701)	(11, 0.45095345877263765)	(12, 0.4513550081593823)	(13, 0.4518341679318003)	(14, 0.4522930815166514)	(15, 0.4527486207369079)	(16, 0.45305906227960124)	(17, 0.4535213502290468)	(18, 0.45393977143876396)	(19, 0.4544088081173985)	(20, 0.45493520899413936)	(21, 0.45527601981818316)	(22, 0.4556809435695223)	(23, 0.45616010334194035)	(24, 0.4565920220100354)	(25, 0.45700369449056355)	(26, 0.4574794798983871)	(27, 0.4579755114937776)	(28, 0.4585289072872744)	(29, 0.4592746418626574)	(30, 0.4599562635107449)	(31, 0.4605130336688363)	(32, 0.46125876824421924)	(33, 0.46187965132960596)	(34, 0.46261863717579993)	(35, 0.4633778692095608)	(36, 0.4642113372644006)	(37, 0.46505155404842935)	(38, 0.4660233710516433)	(39, 0.4671875268367434)	(40, 0.46822683113184727)	(41, 0.4693032534374905)	(42, 0.4704201681182677)	(43, 0.47211747350929767)	(44, 0.47367305558735895)	(45, 0.4750734168940735)	(46, 0.4764771525653826)	(47, 0.4777290418299395)	(48, 0.47952082942961527)	(49, 0.48103929349713714)	(50, 0.48219332618845373)	(51, 0.48329336904625847)	(52, 0.4845182633940594)	(53, 0.485672296085376)	(54, 0.48689381606858245)	(55, 0.48827055682313564)	(56, 0.4896405488484998)	(57, 0.49097004849873)	(58, 0.4922185633986924)	(59, 0.4942060641448488)	(60, 0.49551531760751205)	(61, 0.4967570837782855)	(62, 0.49837340441904765)	(63, 0.500121325278995)	(64, 0.5019536052538047)
SRR6984615 - illumina_universal_adapter	(1, 7.961642969738686e-05)	(2, 0.00010509368720055066)	(3, 0.00021974134596478777)	(4, 0.0003025424328500701)	(5, 0.0003312043475411294)	(6, 0.0019681181421194035)	(7, 0.0020031493711862537)	(8, 0.002060473200568372)	(9, 0.002140089630265759)	(10, 0.0022197060599631457)	(11, 0.00228021454653316)	(12, 0.0023693849477942333)	(13, 0.0024744786349947838)	(14, 0.0025923109509469163)	(15, 0.0026814813522079897)	(16, 0.002904407355360673)	(17, 0.0030095010425612236)	(18, 0.0031305180157012516)	(19, 0.0032292423885260115)	(20, 0.003394844562296576)	(21, 0.0035381541357518724)	(22, 0.003754710824528765)	(23, 0.003990375456433029)	(24, 0.004232409402713086)	(25, 0.004499920606496306)	(26, 0.004767431810279526)	(27, 0.005063604928753805)	(28, 0.005496718306307589)	(29, 0.005913908397921897)	(30, 0.0063470217754756815)	(31, 0.006770581181465779)	(32, 0.007369296732790128)	(33, 0.008003043513181329)	(34, 0.008569912492626723)	(35, 0.009146335443635804)	(36, 0.009799190167154376)	(37, 0.010496630091303485)	(38, 0.01137241081797474)	(39, 0.012241822230270205)	(40, 0.01321632732976622)	(41, 0.01422267900114119)	(42, 0.015413740789414097)	(43, 0.016738558179578616)	(44, 0.018123884056313145)	(45, 0.019566533762429797)	(46, 0.021334018501711786)	(47, 0.022996409553793222)	(48, 0.02511102192655582)	(49, 0.027617347133429556)	(50, 0.030537677774729707)	(51, 0.033830613307013625)	(52, 0.03717131869711598)	(53, 0.040664887632237315)	(54, 0.04455335405865769)	(55, 0.04852143691477545)	(56, 0.05276021563186433)	(57, 0.057489431555889106)	(58, 0.0627090846868498)	(59, 0.06886184237386385)	(60, 0.07603369036100446)	(61, 0.08436793822172692)	(62, 0.09390917115666175)	(63, 0.1041542133301215)	(64, 0.11495975516865084)
SRR6984615 - polya	(1, 0.016703526950511766)	(2, 0.019139789699251803)	(3, 0.022626989319997348)	(4, 0.026340299601083472)	(5, 0.029722405534628467)	(6, 0.03239433291527277)	(7, 0.03770952576187032)	(8, 0.04345783198602165)	(9, 0.05262327537278482)	(10, 0.06033333042467977)	(11, 0.06577909421598103)	(12, 0.0696675606424014)	(13, 0.07388404675917501)	(14, 0.07787760687279593)	(15, 0.08157499386794259)	(16, 0.08503034691680918)	(17, 0.08929460289140122)	(18, 0.0938040774694612)	(19, 0.09923710263201088)	(20, 0.104717897652379)	(21, 0.11334513397438783)	(22, 0.12068576879248691)	(23, 0.12482582313675103)	(24, 0.12852002547470978)	(25, 0.1326473411902223)	(26, 0.13634791284255685)	(27, 0.14106757479501794)	(28, 0.14378408737629278)	(29, 0.14677129581853873)	(30, 0.14995595300643422)	(31, 0.15343359865561607)	(32, 0.15670742624477263)	(33, 0.16022647243739713)	(34, 0.16391430546098007)	(35, 0.16743972096798038)	(36, 0.1747262166138852)	(37, 0.17970065114137795)	(38, 0.18406681614598264)	(39, 0.18871641564031005)	(40, 0.1929806716149021)	(41, 0.1967544903825582)	(42, 0.2002321360317401)	(43, 0.20393589234126253)	(44, 0.20754729359233598)	(45, 0.21110774032840313)	(46, 0.214766911437295)	(47, 0.21838786665993218)	(48, 0.2218304810800472)	(49, 0.22569347024896438)	(50, 0.22994817225199274)	(51, 0.23366466719026677)	(52, 0.23748307115855344)	(53, 0.24137153758497382)	(54, 0.24517401826732102)	(55, 0.24896057566372873)	(56, 0.2531388458942476)	(57, 0.2570241276634801)	(58, 0.2611769206364958)	(59, 0.26543162263952413)	(60, 0.2695270917831577)	(61, 0.2734060042380144)	(62, 0.27780083115731014)	(63, 0.2821160416469085)	(64, 0.2871000301459649)
SRR6984615 - polyg	(1, 0.05606907445008773)	(2, 0.3645508929555829)	(3, 0.36503814550533087)	(4, 0.36530247205192623)	(5, 0.36597125006138426)	(6, 0.366649582042406)	(7, 0.36677059901554604)	(8, 0.3669202779033771)	(9, 0.36717186582122086)	(10, 0.3674234537390646)	(11, 0.36772599617191465)	(12, 0.3680603851766437)	(13, 0.36851260649732487)	(14, 0.3688406261876781)	(15, 0.3692450776505408)	(16, 0.36956354336933034)	(17, 0.36991704031718675)	(18, 0.3703246764372374)	(19, 0.3707960057010459)	(20, 0.3711845338779692)	(21, 0.3715603234261408)	(22, 0.3718692351733667)	(23, 0.37228960992216886)	(24, 0.37266221481315265)	(25, 0.373079404904767)	(26, 0.3735379955398239)	(27, 0.37402524808957194)	(28, 0.37455708583995045)	(29, 0.3752131252206569)	(30, 0.37584687200104816)	(31, 0.3765124653533183)	(32, 0.377343660879359)	(33, 0.3782035183200908)	(34, 0.37909203767551364)	(35, 0.3800920200325128)	(36, 0.38119709607671254)	(37, 0.3824040811509249)	(38, 0.38362380485388886)	(39, 0.3850250540165629)	(40, 0.38645814975111586)	(41, 0.388098248202882)	(42, 0.3900154118299951)	(43, 0.39266823126751205)	(44, 0.3950280622437426)	(45, 0.3974738789640463)	(46, 0.399432443134602)	(47, 0.4010534336432408)	(48, 0.4041616590586268)	(49, 0.4064227656620326)	(50, 0.4077666909953245)	(51, 0.409152016872059)	(52, 0.4104991268625388)	(53, 0.411954515197407)	(54, 0.4134449347613421)	(55, 0.4151296184137388)	(56, 0.41687481055270553)	(57, 0.41834293751632534)	(58, 0.420059467740601)	(59, 0.4231868010991144)	(60, 0.4248969620090142)	(61, 0.4265211371748409)	(62, 0.42866759611948246)	(63, 0.4309509953232035)	(64, 0.43396686568014053)
SRR6984616 - illumina_universal_adapter	(1, 5.674752001730077e-05)	(2, 6.706525092953728e-05)	(3, 0.00017540142550802055)	(4, 0.00028115816735844475)	(5, 0.00032242909100739075)	(6, 0.0011401092658021336)	(7, 0.0011762213239949614)	(8, 0.001230389411284203)	(9, 0.0013180901240382134)	(10, 0.0013954731058799872)	(11, 0.0014496411931692289)	(12, 0.0015192858768268251)	(13, 0.001617304320493072)	(14, 0.0016946873023348458)	(15, 0.0018081823423694472)	(16, 0.0019345745460443444)	(17, 0.002009378095158059)	(18, 0.00212545256792072)	(19, 0.0022183121461308484)	(20, 0.0023576015134460413)	(21, 0.0025097880444015295)	(22, 0.0026645540080850773)	(23, 0.0028373760008650385)	(24, 0.003030833455469473)	(25, 0.0032242909100739076)	(26, 0.003520925673800707)	(27, 0.003825298735711684)	(28, 0.004227690241288907)	(29, 0.004642978910506427)	(30, 0.005066005877908123)	(31, 0.005543200932599062)	(32, 0.006048769747298651)	(33, 0.006629142111111954)	(34, 0.0072146733403813754)	(35, 0.007844054926027803)	(36, 0.008437324453481401)	(37, 0.009175042213706311)	(38, 0.009954030897580167)	(39, 0.010776869937831028)	(40, 0.011664194796283368)	(41, 0.012649538098401953)	(42, 0.013805123960572442)	(43, 0.015063887131865296)	(44, 0.016245267321316377)	(45, 0.017666534754476954)	(46, 0.018997522042155462)	(47, 0.020493593024429754)	(48, 0.02231725196316756)	(49, 0.024579414465675412)	(50, 0.027313613157418086)	(51, 0.030408932431089036)	(52, 0.03350167227203193)	(53, 0.03683687878941238)	(54, 0.04032427183774832)	(55, 0.04388904786792603)	(56, 0.04760601042905923)	(57, 0.05201426096131227)	(58, 0.05704415478102757)	(59, 0.0624944961354165)	(60, 0.06898434887921326)	(61, 0.0766813761397417)	(62, 0.08527862542236277)	(63, 0.09420088322871928)	(64, 0.10435095101363194)
SRR6984616 - polya	(1, 0.01333824663679374)	(2, 0.016183360935842956)	(3, 0.01986421143878333)	(4, 0.02423119104738743)	(5, 0.02821641461223878)	(6, 0.0314020140313918)	(7, 0.03589796527639886)	(8, 0.04229495844198549)	(9, 0.05144420632841121)	(10, 0.061001004585870267)	(11, 0.06551243242724568)	(12, 0.06960857159940358)	(13, 0.07440115760813742)	(14, 0.07917568758777487)	(15, 0.08378771330554459)	(16, 0.0883997390233143)	(17, 0.09336772645755619)	(18, 0.0987871146192084)	(19, 0.10358485949339838)	(20, 0.1088340050949987)	(21, 0.11450617766400072)	(22, 0.12021446229119556)	(23, 0.1243518723870024)	(24, 0.12862083355194026)	(25, 0.13294396280416734)	(26, 0.13693950409993094)	(27, 0.14158764187589348)	(28, 0.14518079166607983)	(29, 0.14906283792180883)	(30, 0.15336533171221145)	(31, 0.157533695000755)	(32, 0.1615601894892553)	(33, 0.16554799248683472)	(34, 0.16966734655354512)	(35, 0.1742638956749465)	(36, 0.18009083420763206)	(37, 0.1853322415110482)	(38, 0.19064071406539387)	(39, 0.19642380224170244)	(40, 0.20170132160331142)	(41, 0.2063546182447301)	(42, 0.21111883049345528)	(43, 0.21547291293841908)	(44, 0.21975477126699725)	(45, 0.22404436789375956)	(46, 0.22837523544417085)	(47, 0.2329588874019319)	(48, 0.23734134360690437)	(49, 0.2419198366992093)	(50, 0.24700389860621386)	(51, 0.251505008716677)	(52, 0.25617894081992015)	(53, 0.26062072397763797)	(54, 0.2648948440080319)	(55, 0.2695171874567139)	(56, 0.2739486528835195)	(57, 0.27841107150306177)	(58, 0.28299214402809475)	(59, 0.28758611371676807)	(60, 0.2924070734855106)	(61, 0.29684627721050033)	(62, 0.30179878804837384)	(63, 0.30678741094444023)	(64, 0.31251891046618757)
SRR6984616 - polyg	(1, 0.04768597284362906)	(2, 0.30108428518270147)	(3, 0.3013938171100686)	(4, 0.30163886321923417)	(5, 0.3023172540267137)	(6, 0.3031452519324207)	(7, 0.30326390583791146)	(8, 0.3034135129361389)	(9, 0.3037952689798916)	(10, 0.304115118638171)	(11, 0.30452008957647625)	(12, 0.3048992661875009)	(13, 0.30529649882762205)	(14, 0.30566019884227835)	(15, 0.306080646376952)	(16, 0.30643144922796806)	(17, 0.30681578470444887)	(18, 0.30725170883549086)	(19, 0.3076902123992609)	(20, 0.3082086783776008)	(21, 0.30854658406497654)	(22, 0.30897476989783434)	(23, 0.30939779686523605)	(24, 0.3098363004290061)	(25, 0.3103031777527848)	(26, 0.31072362528745845)	(27, 0.31120082034214935)	(28, 0.3117992487350591)	(29, 0.31240541542615297)	(30, 0.3131302360227376)	(31, 0.313759617608384)	(32, 0.3145566623213543)	(33, 0.3152892212161231)	(34, 0.31607336876545306)	(35, 0.31686267518023914)	(36, 0.3177061496823145)	(37, 0.3187095490135295)	(38, 0.31981612565386686)	(39, 0.32090980513056394)	(40, 0.32191836332723506)	(41, 0.32314101444033505)	(42, 0.3244745811607416)	(43, 0.3263936791104176)	(44, 0.32819670258733097)	(45, 0.3297907920132715)	(46, 0.3313152367555544)	(47, 0.3327880928432762)	(48, 0.3349058071130127)	(49, 0.336662400800821)	(50, 0.3378927902121052)	(51, 0.3391850860088628)	(52, 0.3403999988237787)	(53, 0.3416123322059665)	(54, 0.343031020206399)	(55, 0.34440327841772644)	(56, 0.34580391038906255)	(57, 0.34713747710946913)	(58, 0.3484684643971476)	(59, 0.3506300290232612)	(60, 0.35220606242010527)	(61, 0.3535370497077838)	(62, 0.35517241005737327)	(63, 0.3568696767924362)	(64, 0.3589074286476029)
SRR6984617 - illumina_universal_adapter	(1, 3.787185353357794e-05)	(2, 4.6611512041326696e-05)	(3, 0.00010778912159556799)	(4, 0.00016022707264206053)	(5, 0.00016605351164722637)	(6, 0.0004894208764339304)	(7, 0.0004952473154390962)	(8, 0.0005156398519571766)	(9, 0.0005826439005165837)	(10, 0.0006001232175320813)	(11, 0.0006205157540501617)	(12, 0.0006409082905682421)	(13, 0.0006642140465889055)	(14, 0.0006875198026095688)	(15, 0.0007312180951483126)	(16, 0.0007807428266922222)	(17, 0.0008390072167438806)	(18, 0.0009234905823187852)	(19, 0.0009904946308781923)	(20, 0.001069151557447931)	(21, 0.0011245027279970065)	(22, 0.0012730769226287355)	(23, 0.0013925189222346352)	(24, 0.0015177873608457006)	(25, 0.0016809276529903441)	(26, 0.0019256380912073092)	(27, 0.002184914626937189)	(28, 0.002537414186749722)	(29, 0.002901566624572587)	(30, 0.0033502024279703567)	(31, 0.003833796865399121)	(32, 0.0043494367173562976)	(33, 0.0049349938373754645)	(34, 0.0055438567134152945)	(35, 0.0061498063699525415)	(36, 0.006822760075049196)	(37, 0.007469494804622603)	(38, 0.008299762362858735)	(39, 0.009269864457218847)	(40, 0.010257445868594457)	(41, 0.011384861816094046)	(42, 0.012864777323406169)	(43, 0.01440295722076995)	(44, 0.015938223898631147)	(45, 0.017604585454108576)	(46, 0.019428260862725484)	(47, 0.021534518563092936)	(48, 0.024118544261883985)	(49, 0.02725899488566837)	(50, 0.030816035898322113)	(51, 0.03486541100691237)	(52, 0.038672988896788246)	(53, 0.042926289370559305)	(54, 0.04779427915937536)	(55, 0.05291571904491613)	(56, 0.05835178663673586)	(57, 0.06414909344687587)	(58, 0.07100098571695089)	(59, 0.07882589330088861)	(60, 0.08815402214815912)	(61, 0.09878436011308418)	(62, 0.11060329163506309)	(63, 0.12374482481121464)	(64, 0.1374777415463905)
