"","ID","Description","Count","GeneRatio","geneID"
"GO:0043473","GO:0043473","pigmentation",2,"2/1255","Dct/Recql4"
"GO:0044419","GO:0044419","biological process involved in interspecies interaction between organisms",79,"79/1255","Neurl3/Fzd5/Hmcn1/Slamf9/Slamf8/Dusp10/Lyplal1/Batf3/Rasgrp1/Slpi/Fmr1/Car5b/Noct/Mgst2/Dcst1/H2bc21/Hmgcs2/Pde4b/Ptafr/Trim63/Padi4/Jchain/Cxcl13/Gbp4/Serpine1/Lep/Tril/Snca/Irak2/Clec4b1/Gapdh/Usp29/Lgals4/Saa3/Thrsp/Pde2a/Adm/Trim72/Cyp2e1/Akap12/Arg1/Trdn/Prdm1/Cfd/Gpx4/Gapdhrt2/Mt2/Cx3cl1/Ear10/Ear2/Mmp3/Pou2af1/Trf/Hba-a1/Hba-a2/Tgtp1/Tgtp2/Ccl2/Slfn4/Wfdc21/Fasn/Irf4/Ndufs4/Rsad2/Pygl/Il7r/Masp1/Adamts5/Msrb1/Fkbp5/Pim1/Trim10/Trem1/C3/Gapdh-ps15/Pcx/Dtx4/Scd1/Gpam"
"GO:0044848","GO:0044848","biological phase",0,"0/1255",""
"GO:0048511","GO:0048511","rhythmic process",25,"25/1255","Npas2/Noct/Rorc/Ciart/Ngf/Mup2/Mup1/Mup11/Mup3/Lep/Ghrl/Bhlhe41/Atp1a3/Dbp/Bmal1/Nr1d2/Mycbp2/Gdf9/Hlf/Map2k6/Nampt/Tef/Has1/Nudt12/Adrb1"
"GO:0048518","GO:0048518","positive regulation of biological process",245,"245/1255","Npas2/Slc40a1/Fzd5/Rnf152/Cacna1s/Glul/Dnm3/Mpc2/Adcy10/Cd247/Casq1/Spta1/Dusp10/Lyplal1/Atf3/Nek2/Il2ra/Bmyc/Agpat2/Ptges/Xirp2/Ttn/Aplnr/Mapk8ip1/Rasgrp1/Gm14137/Mylk2/Trp53inp2/Acss2/Nnat/Pltp/Eya2/Cass4/Ctcfl/Fmr1/G6pdx/Fabp5/Skil/Noct/Kirrel1/Cd5l/Tmem79/Fdps/Rorc/Hjv/Tent5c/Ngf/Synpo2/Elovl6/Dkk2/Mup2/Mup1/Mup11/Mup20/Mup3/Pde4b/Lurap1/Ptch2/Plk3/Foxo6/Sesn2/Ptafr/E2f2/Eno1/Tnfrsf18/Cyp51/Sema3a/Slit2/Limch1/Jchain/Rassf6/Cxcl13/Sez6l/Acacb/Aacs/Serpine1/Fam20c/Baiap2l1/Rasl11a/Pon1/Lep/Hilpda/Kcp/Klf14/Plxna4/Hoxa3/Tril/Mturn/Adcyap1r1/Snca/Gadd45a/Smyd1/Cyp26b1/Rad18/Irak2/Ghrl/Ret/Clec4b1/Gapdh/Cd27/Eps8l1/Peg3/Usp29/Nfkbid/Scn1b/Gpi1/Ccne1/Dbp/Ldha/Klhl25/Hapln3/Aqp11/Lrrc32/Map6/Gdpd5/Pde2a/Adm/Bmal1/Spon1/Chp2/Atp2a1/Aldoa/Tnni2/Akap12/Arg1/Trdn/Prdm1/Pcbd1/Cfd/Kcnc2/Irs2/F10/Angpt2/Ppp1r3b/Vegfc/Asb5/Gapdhrt2/Nkd1/Cx3cl1/Has3/Acta1/Trim67/Nr1d2/Lrtm1/Samd4/Slc25a37/Klf5/Mycbp2/Dct/Fgf14/Mmp3/St3gal4/Cdon/Sorl1/C2cd2l/Jaml/Apoc3/Dixdc1/Pou2af1/Cspg4/Pkm/Dapk2/Aldh1a2/Trf/Pth1r/Stac/Gck/Dock2/Mrnip/Gdf9/Alox15/Atp2a3/Ccl2/Septin4/Hlf/Cdc34b/Slc4a1/Axin2/Map2k6/Net1/Ryr2/Irf4/Gcnt2/Nedd9/Phactr1/Cd83/Gadd45g/Rasgrf2/Thbs4/Lhfpl2/Ndufs4/Grhl1/Rsad2/Sox11/Nampt/Egln3/Pgf/Fbln5/Il7r/Npr3/Dcstamp/Sybu/Recql4/Tef/Rapgef3/Gpd1/Abat/Comt/Tbx1/Cldn5/Clcn2/Masp1/Bcl6/Trp63/Tfrc/Tnk2/Mrap/Acat2/Dll1/Pim1/Abcg1/H2-Q10/Trem1/Apobec2/Rfx2/C3/Lbh/Ehd3/Gapdh-ps15/Asxl3/Fgf1/Eno1b/Lipg/Smad7/Zbtb7c/Pcx/Actn3/Dock8/Hhex/Blnk/Scd1/Dusp5/Gpam/Adrb1/Afap1l2"
"GO:0048519","GO:0048519","negative regulation of biological process",242,"242/1255","Slc40a1/Fzd5/Rnf152/Serpinb2/Lypd1/Cacna1s/Dnm3/Fmo4/Adcy10/Casq1/Slamf8/Spta1/Dusp10/Lyplal1/Batf3/Atf3/Nek2/Il2ra/Bmyc/Adamtsl2/Ptges/Nron/Grb14/Pde11a/Ypel4/Slc43a1/Rtn4rl2/Aplnr/Mapk8ip1/Gpat2/Rem1/Trp53inp2/Slpi/Eya2/Pmepa1/Fmr1/Dusp9/G6pdx/Mageb18/Fabp5/Skil/Noct/Gpr171/Dclk2/Kirrel1/Dcst1/Rorc/Tmod4/Ciart/H2bc21/Hjv/Tent5c/Ngf/Dkk2/Mup2/Mup1/Mup11/Mup3/Dhcr24/Ptch2/Plk3/Sesn2/Trim63/E2f2/Pla2g2d/Eno1/Tmem88b/Tnfrsf18/Cyp51/Sema3a/Zfyve28/Htra3/Slit2/Limch1/Cxcl13/Gbp4/Acacb/Gtf2ird1/Serpine1/Tfpi2/Tes/Lep/Plxna4/Adcyap1r1/Snca/Gadd45a/Smyd1/Cyp26b1/Arhgap25/Rad18/Srgap3/Ghrl/Slc2a3/Clec4b1/Gapdh/Cd27/Bhlhe41/Peg3/Apoc1/Ryr1/Spred3/Nfkbid/Gpi1/Pepd/Ccne1/Klhl25/Aqp11/Lrrc32/Gdpd5/Pde2a/Adm/Bmal1/Spon1/Atp2a1/Trim72/Ptpre/Dusp8/H19/Arg1/Trdn/Prdm1/Mmp11/Prtn3/Gpx4/Jsrp1/Fcor/Irs2/Angpt2/Ppp1r3b/Vegfc/Isyna1/Gapdhrt2/Inpp4b/Nkd1/Mt2/Mt1/Cx3cl1/Adgrg3/Rrad/Osgin1/Trim67/Nr1d2/Myoz1/Samd4/Kcnrg/Hr/Dach1/Klf5/Mycbp2/Gpr18/Mmp3/Sorl1/Apoc3/Dixdc1/Cspg4/Aldh1a2/Klhl31/Adamts7/Traip/Pth1r/Gck/Mrnip/Gdf9/Obscn/Shisa6/Tmem88/Bcl6b/Alox15/Zmynd15/Rap1gap2/Ccl2/Septin4/Wfikkn2/Cdc34b/Slc4a1/Axin2/Map2k6/Ryr2/Irf4/Gcnt2/Nedd9/Cd83/Gadd45g/Thbs4/Rgs7bp/Rsad2/Sox11/Nampt/Fbln5/Ifi27/Serpina1b/Serpina1d/Serpina1a/Serpina1c/Serpina1e/Serpina3j/Serpina3k/Serpina3m/Bdkrb2/Il7r/Npr3/Dcstamp/Recql4/Tafa5/Rapgef3/Vasn/Abat/Serpind1/Comt/Tbx1/Cldn5/Masp1/Bcl6/Trp63/Tfrc/Gbe1/Adamts5/Mrap/Dll1/Has1/Rpl3l/Pim1/Abcg1/Cbs/Trim10/Nudt12/Lbh/Gapdh-ps15/Asxl3/Spry4/Eno1b/Smad7/Zbtb7c/Pcx/Actn3/Dtx4/Dock8/Hhex/Sfrp5/Dusp5/Gpam/Adrb1"
"GO:0050789","GO:0050789","regulation of biological process",417,"417/1255","Npas2/Slc40a1/Nrp2/Zdbf2/Fzd5/Septin2/Rnf152/Serpinb2/Lypd1/Cacna1s/Glul/Cacna1e/Dnm3/Fmo4/Mpc2/Adcy10/Cd247/Nos1ap/Casq1/Igsf9/Slamf8/Spta1/Dusp10/Lyplal1/Batf3/Atf3/Nek2/Hsd11b1/Il2ra/Bmyc/Agpat2/Adamtsl2/Ptges/Bbln/Garnl3/Nron/Olfml2a/Neb/Grb14/Xirp2/Klhl41/Pdk1/Chn1/Pde11a/Ttn/Ypel4/Slc43a1/Rtn4rl2/Aplnr/Mapk8ip1/Rasgrp1/Gm14137/Epb42/Gpat2/Rem1/Mylk2/Trp53inp2/Acss2/Nnat/Slpi/Pltp/Eya2/Cass4/Ctcfl/Pmepa1/Syp/Fmr1/Nsdhl/Dusp9/G6pdx/Mageb18/Ptchd1/Fabp5/Skil/Noct/Gpr171/P2ry14/Dclk2/Kirrel1/Cd5l/Tmem79/Fdps/Dcst1/Rorc/Tmod4/Ciart/H2bc21/Hjv/Tent5c/Ngf/Synpo2/Elovl6/Dkk2/Gabrr2/Mup2/Mup1/Mup11/Mup20/Mup3/Orm1/Orm3/Orm2/Dnajc6/Pde4b/Dhcr24/Lurap1/Ptch2/Plk3/Foxo6/Sesn2/Ptafr/Trim63/E2f2/Pla2g2d/Arhgef19/Eno1/Tmem88b/Tnfrsf18/Cyp51/Sema3a/Zfyve28/Htra3/Slit2/Limch1/Jchain/Rassf6/Cxcl13/Gbp4/Sez6l/Acacb/Aacs/Gtf2ird1/Serpine1/Fam20c/Baiap2l1/Rasl11a/Tfpi2/Pon1/Tes/Lep/Hilpda/Kcp/Strip2/Mest/Klf14/Plxna4/Hoxa3/Hoxa6/Tril/Chn2/Mturn/Adcyap1r1/Snca/Gadd45a/Smyd1/Cyp26b1/Arhgap25/Rad18/Srgap3/Irak2/Ghrl/Syn2/Ret/Slc2a3/Clec4b1/Gapdh/Cd27/Bhlhe41/Eps8l1/Peg3/Usp29/Apoc1/Atp1a3/Ryr1/Spred3/Nfkbid/Scn1b/Gpi1/Pepd/Ccne1/Ppfia3/Dbp/Saa3/Ldha/Gabrg3/Klhl25/Hapln3/Thrsp/Aqp11/Lrrc32/Map6/Gdpd5/Pde2a/Dchs1/Adm/Bmal1/Spon1/Gde1/Chp2/Atp2a1/Aldoa/Trim72/Itgad/Insyn2a/Ptpre/Dusp8/Tnni2/Tnnt3/H19/Akap12/Arg1/Trdn/Prdm1/Pcbd1/Mmp11/Hcn2/Prtn3/Cfd/Gpx4/Jsrp1/Nuak1/Kcnc2/Or6c208/Fcor/Irs2/F10/Angpt2/Ppp1r3b/Slc7a2/Vegfc/Asb5/Isyna1/Gapdhrt2/Gypa/Inpp4b/Nkd1/Mt2/Mt1/Cx3cl1/Adgrg3/Rrad/Has3/Osgin1/Kcng4/Acta1/Trim67/Nr1d2/Myoz1/Lrtm1/Tkt/Sncg/Grid1/Samd4/Kcnrg/Slc25a37/Hr/Dach1/Klf5/Mycbp2/Dct/Gpr18/Fgf14/Mmp3/St3gal4/Cdon/Sorl1/C2cd2l/Jaml/Apoc3/Dixdc1/Pou2af1/Cspg4/Pkm/Dapk2/Aldh1a2/Klhl31/Me1/Adamts7/Trf/Traip/Pth1r/Ccrl2/Stac/Pgam2/Gck/Dock2/Mrnip/Gdf9/Obscn/Shisa6/Glp2r/Tmem88/Bcl6b/Alox15/Zmynd15/Atp2a3/Rap1gap2/Ccl2/Septin4/Hlf/Wfikkn2/Cdc34b/Slc4a1/Axin2/Map2k6/Net1/Ryr2/Irf4/Mylk4/Gcnt2/Nedd9/Phactr1/Cd83/Gadd45g/Diras2/Unc5a/Adamts16/Pou5f2/Rasgrf2/Thbs4/Lhfpl2/Rgs7bp/Ndufs4/Grhl1/Rsad2/Sox11/Nampt/Nrcam/Coch/Egln3/Pgf/Fbln5/Ifi27/Serpina1b/Serpina1d/Serpina1a/Serpina1c/Serpina1e/Serpina3j/Serpina3k/Serpina3m/Syne3/Bdkrb2/Il7r/Npr3/Ropn1l/Dcstamp/Sybu/Fam83a/Recql4/Pvalb/Syngr1/Tef/Tafa5/Rapgef3/Gpd1/Ppp1r1a/Vasn/Rbfox1/Abat/Serpind1/Comt/Tbx1/Cldn5/Clcn2/Masp1/Bcl6/Trp63/Tfrc/Tnk2/Gpr156/Gbe1/Adamts5/Mrap/Kcnj15/Ripk4/Acat2/Dll1/Has1/Rpl3l/Pim1/Abcg1/Cbs/H2-Q10/Trim10/Trem1/Apobec2/Slc5a7/Rfx2/C3/Nudt12/Lbh/Ehd3/Gapdh-ps15/Lama3/Asxl3/Spry4/Fgf1/Eno1b/Mc5r/Lipg/Smad7/Zbtb7c/Pard6g/Gpr152/Pcx/Actn3/Dtx4/Dock8/Hhex/Blnk/Sfrp5/Scd1/Dusp5/Gpam/Adrb1/Afap1l2"
"GO:0050896","GO:0050896","response to stimulus",385,"385/1255","Gsta3/Neurl3/Npas2/Nrp2/Fzd5/Ugt1a6a/Septin2/Rnf152/Lypd1/Prelp/Cacna1s/Hmcn1/Glul/Cacna1e/Fmo4/F5/Mpc2/Adcy10/Cd247/Casq1/Slamf9/Slamf8/Dusp10/Mtarc1/Lyplal1/Batf3/Atf3/Il2ra/Bmyc/Agpat2/Adamtsl2/Ptges/Bbln/Slc25a25/Garnl3/Nron/Olfml2a/Grb14/Pdk1/Chn1/Pde11a/Ttn/Rtn4rl2/Aplnr/Mapk8ip1/Rasgrp1/Gm14137/Rem1/Mylk2/Nnat/Slpi/Eya2/Cass4/Pmepa1/Syp/Fmr1/Nsdhl/Dusp9/G6pdx/Alas2/Ptchd1/Car5b/Fabp5/Skil/Noct/Mgst2/Gpr171/P2ry14/Tdo2/Dclk2/Cd5l/Fdps/Dcst1/Pmvk/Rorc/H2bc21/Hjv/Hmgcs2/Ngf/Tspan2/Dkk2/Mup2/Mup1/Mup11/Mup20/Mup3/Orm1/Orm3/Orm2/Pde4b/Dhcr24/Lurap1/Ptch2/Plk3/Oscp1/Sesn2/Ptafr/Trim63/E2f2/Pla2g2d/Padi4/Arhgef19/Slc2a5/Eno1/Tmem88b/Tnfrsf18/Sema3a/Zfyve28/Htra3/Slit2/Jchain/Rassf6/Cxcl13/Gbp4/Sez6l/Acacb/Aacs/Gtf2ird1/Serpine1/Fam20c/Tfpi2/Pon1/Lep/Hilpda/Kcp/Mest/Klf14/Plxna4/Snx10/Tril/Chn2/Mturn/Adcyap1r1/Snca/Gadd45a/Igkc/Cyp26b1/Arhgap25/Rad18/Srgap3/Irak2/Ghrl/Ret/Clec4b1/Gapdh/Cd27/Gys2/Eps8l1/Usp29/Ckm/Atp1a3/Cyp2f2/Rps16/Lgals4/Ryr1/Spred3/Nfkbid/Scn1b/Gpi1/Ccne1/Saa3/Gabrg3/Thrsp/Aqp11/Lrrc32/Gdpd5/Pde2a/Dchs1/Adm/Bmal1/Gde1/Chp2/Atp2a1/Mylpf/Trim72/Itgad/Insyn2a/Ptpre/Cyp2e1/Dusp8/Akap12/Arg1/Trdn/Prdm1/Hcn2/Cfd/Gpx4/Nuak1/Kcnc2/Or6c208/Fcor/Irs2/F10/Angpt2/Slc7a2/Vegfc/Asb5/Gapdhrt2/Gypa/Inpp4b/Nkd1/Mt2/Mt1/Cx3cl1/Adgrg3/Pkd1l2/Osgin1/Acta1/Trim67/Nr1d2/Myoz1/Lrtm1/Sncg/Ear10/Ear2/Psmb5/Dach1/Klf5/Mycbp2/Dct/Gpr18/Fgf14/Mmp3/B3gat1/St3gal4/Cdon/Sorl1/C2cd2l/Jaml/Apoc3/Dixdc1/Pou2af1/Cspg4/Pkm/Dapk2/Aldh1a2/Klhl31/Gsta4/Me1/Adamts7/Nmnat3/Trf/Traip/Pth1r/Ccrl2/Stac/Dusp18/Pgam2/Gck/Hba-a1/Hba-a2/Dock2/Tgtp1/Tgtp2/Mrnip/Gdf9/Obscn/Shisa6/Myh2/Myh4/Myh13/Glp2r/Tmem88/Alox15/Atp2a3/Rap1gap2/Mir365-2/Ccl2/Slfn4/Wfdc21/Acaca/Septin4/Wfikkn2/Cdc34b/Tcap/Slc4a1/Axin2/Map2k6/Fasn/Net1/Idi1/Ryr2/Irf4/Mylk4/Gcnt2/Nedd9/Cd83/Gadd45g/Diras2/Unc5a/Rasgrf2/Thbs4/Rgs7bp/Ccno/Gpx8/Ndufs4/Hmgcs1/Rsad2/Sox11/Nampt/Immp2l/Egln3/Pygl/Rdh11/Pgf/Fbln5/Unc79/Ifi27/Serpina1b/Serpina1d/Serpina1a/Serpina1c/Serpina1e/Serpina3k/Serpina3m/Bdkrb2/Il7r/Npr3/Dcstamp/Sybu/Fam83a/Recql4/Syngr1/Smdt1/Tafa5/Rapgef3/Gpd1/Ppp1r1a/Vasn/Abat/Serpind1/Comt/Tbx1/Cldn5/Clcn2/Masp1/Bcl6/Trp63/Tfrc/Tnk2/Gpr156/Gm10791/Adamts5/Mrap/Mpc1/Dll1/Has1/Msrb1/Fkbp5/Pim1/Abcg1/Cbs/H2-Q10/Trim10/Trem1/Rfx2/C3/Lbh/Gapdh-ps15/Spry4/Fgf1/Eno1b/Mc5r/Lipg/Smad7/Gpr152/Actn3/Neat1/Pygm/Dtx4/Aldh1a7/Dock8/Gldc/Hhex/Blnk/Sfrp5/Scd3/Scd4/Scd1/Dusp5/Gpam/Adrb1/Afap1l2/ATP6/ND3"
"GO:0051179","GO:0051179","localization",191,"191/1255","Xkr4/Neurl3/Slc40a1/Mpp4/Septin2/Lypd1/Cacna1s/Glul/Cacna1e/Dnm3/Mpc2/Adcy10/Cd247/Casq1/Lyplal1/Nek2/Ptges/Slc25a25/Xirp2/Ttn/Ypel4/Slc43a1/Aplnr/Pex16/Mapk8ip1/Rasgrp1/Rem1/Mylk2/Trp53inp2/Nnat/Pltp/Eya2/Ctcfl/Syp/Fmr1/G6pdx/Fabp5/Dclk2/Tmem79/Ngf/Atp6v0d2/Gabrr2/Mup2/Mup1/Mup11/Mup3/Dnajc6/Dhcr24/Plk3/Oscp1/Sesn2/Ptafr/Pla2g2d/Slc2a5/Megf6/Cyp51/Slc5a6/Abcg3/Gbp4/Atp5me/Acacb/Aacs/Serpine1/Pon1/Lep/Hilpda/Mest/Snx10/Adcyap1r1/Snca/Arhgap25/Ghrl/Syn2/Slc6a13/Slc2a3/Clec4b1/Slc15a5/Apoc1/Atp1a3/Ryr1/Scn1b/Ccne1/Ppfia3/Zdhhc13/Gabrg3/Mfge8/Aqp11/Lrrc32/Map6/Dchs1/Adm/Bmal1/Chp2/Atp2a1/Trim72/Arg1/Trdn/Hcn2/Prtn3/Jsrp1/Kcnc2/Irs2/Slc7a2/Vegfc/Inpp4b/Cx3cl1/Rrad/Kcng4/Sncg/Grid1/Kcnrg/Xkr6/Slc25a37/Klf5/Mycbp2/Fgf14/Hephl1/Sorl1/C2cd2l/Atp5mg/Apoc3/Megf11/Scg3/Trf/Stac/Dusp18/Gck/Slc1a4/Hba-a1/Dock2/Mrnip/Gdf9/Shisa6/Tmem88/Alox15/Atp2a3/Ccl2/Septin4/Abcc3/Odad4/Kcnh4/Slc4a1/Axin2/Map2k6/Slc25a10/Ryr2/Nedd9/Klhl3/Rasgrf2/Ndufs4/Rsad2/Sox11/Immp2l/Nrcam/Fbln5/Ifi27/Syne3/Bdkrb2/Npr3/Ropn1l/Sybu/Tst/Syngr1/Smdt1/Rapgef3/Abat/Slc25a1/Comt/Clcn2/Bcl6/Tfrc/Tnk2/Mrap/Kcnj15/Mpc1/Dll1/Pim1/Abcg1/Slc5a7/C3/Ehd3/Lipg/Smad7/Pard6g/Hhex/Golga7b/Adrb1/ATP8/ATP6/COX3/ND3"
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms",5,"5/1255","Fmr1/Ptchd1/Atp1a3/Grid1/Tbx1"
"GO:0065007","GO:0065007","biological regulation",431,"431/1255","Xkr4/Npas2/Slc40a1/Nrp2/Zdbf2/Fzd5/Septin2/Rnf152/Serpinb2/Lypd1/Cacna1s/Glul/Cacna1e/Dnm3/Fmo4/F5/Mpc2/Adcy10/Cd247/Nos1ap/Casq1/Igsf9/Slamf8/Spta1/Dusp10/Lyplal1/Batf3/Atf3/Nek2/Hsd11b1/Il2ra/Bmyc/Agpat2/Adamtsl2/Ptges/Bbln/Garnl3/Nron/Olfml2a/Neb/Grb14/Xirp2/Dhrs9/Klhl41/Pdk1/Chn1/Pde11a/Ttn/Ypel4/Slc43a1/Rtn4rl2/Aplnr/Mapk8ip1/Rasgrp1/Gm14137/Epb42/Gpat2/Rem1/Mylk2/Trp53inp2/Acss2/Nnat/Slpi/Pltp/Eya2/Cass4/Ctcfl/Pmepa1/Syp/Fmr1/Nsdhl/Dusp9/G6pdx/Mageb18/Ptchd1/Fabp5/Skil/Noct/Gpr171/P2ry14/Dclk2/Kirrel1/Cd5l/Tmem79/Fdps/Dcst1/Rorc/Tmod4/Ciart/H2bc21/Hjv/Tent5c/Ngf/Synpo2/Enpep/Elovl6/Dkk2/Atp6v0d2/Gabrr2/Mup2/Mup1/Mup11/Mup20/Mup3/Orm1/Orm3/Orm2/Dnajc6/Pde4b/Dhcr24/Lurap1/Ptch2/Plk3/Foxo6/Sesn2/Ptafr/Trim63/E2f2/Pla2g2d/Arhgef19/Slc2a5/Eno1/Tmem88b/Tnfrsf18/Cyp51/Sema3a/Zfyve28/Htra3/Slit2/Limch1/Jchain/Rassf6/Cxcl13/Gbp4/Sez6l/Acacb/Aacs/Gtf2ird1/Serpine1/Fam20c/Baiap2l1/Rasl11a/Tfpi2/Pon1/Tes/Lep/Hilpda/Kcp/Strip2/Mest/Klf14/Plxna4/Hoxa3/Hoxa6/Tril/Chn2/Mturn/Adcyap1r1/Snca/Gadd45a/Smyd1/Cyp26b1/Arhgap25/Rad18/Srgap3/Irak2/Ghrl/Syn2/Ret/Slc2a3/Clec4b1/Gapdh/Cd27/Bhlhe41/Eps8l1/Peg3/Usp29/Apoc1/Atp1a3/Ryr1/Spred3/Nfkbid/Scn1b/Gpi1/Pepd/Ccne1/Ppfia3/Dbp/Saa3/Ldha/Gabrg3/Klhl25/Hapln3/Thrsp/Aqp11/Lrrc32/Map6/Gdpd5/Pde2a/Dchs1/Adm/Bmal1/Spon1/Plekha7/Gde1/Chp2/Atp2a1/Aldoa/Trim72/Itgad/Insyn2a/Ptpre/Dusp8/Tnni2/Tnnt3/H19/Akap12/Arg1/Trdn/Prdm1/Pcbd1/Mmp11/Hcn2/Prtn3/Cfd/Gpx4/Pcsk4/Jsrp1/Nuak1/Kcnc2/Or6c208/Fcor/Irs2/F10/Angpt2/Ppp1r3b/Slc7a2/Vegfc/Asb5/Isyna1/Gapdhrt2/Gypa/Inpp4b/Nkd1/Mt2/Mt1/Cx3cl1/Adgrg3/Rrad/Has3/Osgin1/Kcng4/Acta1/Trim67/Nr1d2/Myoz1/Lrtm1/Tkt/Vstm4/Sncg/Grid1/Samd4/Kcnrg/Xkr6/Slc25a37/Hr/Dach1/Klf5/Mycbp2/Dct/Gpr18/Fgf14/Mmp3/St3gal4/Cdon/Sorl1/C2cd2l/Jaml/Apoc3/Dixdc1/Pou2af1/Cspg4/Pkm/Dapk2/Aldh1a2/Klhl31/Me1/Adamts7/Trf/Traip/Pth1r/Ccrl2/Stac/Pgam2/Gck/Dock2/Mrnip/Gdf9/Obscn/Shisa6/Glp2r/Tmem88/Bcl6b/Alox15/Zmynd15/Atp2a3/Rap1gap2/Tlcd2/Ccl2/Septin4/Hlf/Wfikkn2/Cdc34b/Kcnh4/Slc4a1/Axin2/Map2k6/Net1/Ryr2/Irf4/Mylk4/Gcnt2/Nedd9/Phactr1/Cd83/Gadd45g/Diras2/Unc5a/Adamts16/Pou5f2/Rasgrf2/Thbs4/Lhfpl2/Rgs7bp/Ndufs4/Grhl1/Rsad2/Sox11/Nampt/Nrcam/Coch/Egln3/Dhrs7/Rdh11/Pgf/Fbln5/Ifi27/Serpina1b/Serpina1d/Serpina1a/Serpina1c/Serpina1e/Serpina3j/Serpina3k/Serpina3m/Syne3/Bdkrb2/Il7r/Npr3/Ropn1l/Dcstamp/Sybu/Fam83a/Recql4/Pvalb/Syngr1/Tef/Tafa5/Rapgef3/Gpd1/Ppp1r1a/Vasn/Rbfox1/Abat/Serpind1/Comt/Tbx1/Cldn5/Clcn2/Masp1/Bcl6/Trp63/Tfrc/Tnk2/Gpr156/Gbe1/Adamts5/Mrap/Kcnj15/Ripk4/Acat2/Dll1/Has1/Rpl3l/Pim1/Abcg1/Cbs/H2-Q10/Trim10/Trem1/Apobec2/Slc5a7/Rfx2/C3/Nudt12/Lbh/Ehd3/Gapdh-ps15/Lama3/Asxl3/Spry4/Fgf1/Eno1b/Mc5r/Lipg/Smad7/Zbtb7c/Pard6g/Gpr152/Pcx/Actn3/Dtx4/Dock8/Hhex/Blnk/Sfrp5/Scd1/Dusp5/Gpam/Adrb1/Afap1l2"
"GO:0098754","GO:0098754","detoxification",14,"14/1255","Gsta3/Mtarc1/Ptges/Mgst2/Oscp1/Sesn2/Gpx4/Mt2/Mt1/Gpx8/Rdh11/Fbln5/Pim1/Aldh1a7"
